city_ID,city,lat,lng,country,airport_name,airport_address,airport_rating
1285,Lausanne,46.5333,6.6333,Switzerland,Geneva Airport,"Rte de l'Aéroport 21, Le Grand-Saconnex",3.7
1286,Bern,46.948,7.4474,Switzerland,Bern Airport,"Flugplatzstrasse 31, Belp",4.5
1287,Winterthur,47.4992,8.7267,Switzerland,Zurich Airport,Kloten,4.4
1288,Lucerne,47.0523,8.3059,Switzerland,Zurich Airport,Kloten,4.4
1289,Sankt Gallen,47.4233,9.3772,Switzerland,Bodensee Airport Friedrichshafen,"Am Flugpl. 64, Friedrichshafen",4.3
1290,Lugano,46.0103,8.9625,Switzerland,Malpensa Airport,Ferno,3.8
1291,Biel/Bienne,47.1372,7.2472,Switzerland,Bern Airport,"Flugplatzstrasse 31, Belp",4.5
1292,Thun,46.75899999999999,7.63,Switzerland,Bern Airport,"Flugplatzstrasse 31, Belp",4.5
1293,Bellinzona,46.1956,9.0238,Switzerland,Lugano Airport,"Via Aeroporto, Agno",4.3
1294,Köniz,46.925,7.4153,Switzerland,Bern Airport,"Flugplatzstrasse 31, Belp",4.5
1295,La Chaux-de-Fonds,47.0996,6.8296,Switzerland,Montbéliard Courcelles Airport,Courcelles-lès-Montbéliard,4.2
1296,Fribourg,46.8,7.15,Switzerland,Bern Airport,"Flugplatzstrasse 31, Belp",4.5
1297,Schaffhausen,47.6965,8.6339,Switzerland,Zurich Airport,Kloten,4.4
1298,Vernier,46.2,6.1,Switzerland,Geneva Airport,"Rte de l'Aéroport 21, Le Grand-Saconnex",3.7
1299,Chur,46.8521,9.5297,Switzerland,Samedan Airport,"Plazza Aviatica 2, Samedan",4.5
1300,Sion,46.2304,7.3661,Switzerland,Sion Airport,"Rte de l'Aéroport, Sion",4.3
1301,Uster,47.3492,8.7192,Switzerland,Zurich Airport,Kloten,4.4
1302,Neuchâtel,46.9903,6.9306,Switzerland,Bern Airport,"Flugplatzstrasse 31, Belp",4.5
1303,Landecy,46.1897,6.1158,Switzerland,Geneva Airport,"Rte de l'Aéroport 21, Le Grand-Saconnex",3.7
1304,Zug,47.1681,8.5169,Switzerland,Zurich Airport,Kloten,4.4
1305,Yverdon-les-Bains,46.7785,6.6408,Switzerland,Neuchâtel Airport,Aérodrome,4.6
1306,Emmen,47.0772,8.3,Switzerland,Zurich Airport,Kloten,4.4
1307,Dübendorf,47.3981,8.6194,Switzerland,Zurich Airport,Kloten,4.4
1308,Kriens,47.0344,8.28,Switzerland,Zurich Airport,Kloten,4.4
1309,Rapperswil-Jona,47.2286,8.8317,Switzerland,Zurich Airport,Kloten,4.4
1310,Dietikon,47.4056,8.4039,Switzerland,Zurich Airport,Kloten,4.4
1311,Montreux,46.4333,6.9167,Switzerland,Sion Airport,"Rte de l'Aéroport, Sion",4.3
1312,Frauenfeld,47.5558,8.8964,Switzerland,Bodensee Airport Friedrichshafen,"Am Flugpl. 64, Friedrichshafen",4.3
1313,Wetzikon,47.3208,8.7931,Switzerland,Zurich Airport,Kloten,4.4
1314,Baar,47.1956,8.5264,Switzerland,Zurich Airport,Kloten,4.4
